配置文件,配置类,配置项名称,字段,默认值,是否运行时加载,是否生效,读取模块,外部引用次数,是否旧版遗留,建议
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,（非文件配置/代码常量）,CONFIG_STAGE,"""0.8.9.7.11-control-tokens-cooldown-isolation""",否,固定常量且未发现运行时消费者,无外部读取,0,疑似旧版常量/预留,候选废弃或文档化；本版不改
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,enabled,ENABLED,true,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java；com/noah/raidenhancement/raid/MercenaryGolemController.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,requireActiveRaid,REQUIRE_ACTIVE_RAID,true,是,已读取但未发现运行时消费者,无外部读取,0,疑似旧版遗留/预留,候选废弃；本版仅标记，不删除
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,showChatMessages,SHOW_CHAT_MESSAGES,true,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java；com/noah/raidenhancement/item/MercenaryGolemTokenItem.java,4,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,consumeItemOnSuccess,CONSUME_ITEM_ON_SUCCESS,true,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java；com/noah/raidenhancement/item/MercenaryGolemTokenItem.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,useRadius,USE_RADIUS,128,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java；com/noah/raidenhancement/raid/MercenaryGolemController.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,defaultDurationTicks,DEFAULT_DURATION_TICKS,6000,是,已读取但未发现运行时消费者,无外部读取,0,疑似旧版遗留/预留,候选废弃；本版仅标记，不删除
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,defaultCooldownTicks,DEFAULT_COOLDOWN_TICKS,1200,是,已读取但未发现运行时消费者,无外部读取,0,疑似旧版遗留/预留,候选废弃；本版仅标记，不删除
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,affectMercenaryGolems,AFFECT_MERCENARY_GOLEMS,false,是,已读取但未发现运行时消费者,无外部读取,0,疑似旧版遗留/预留,候选废弃；本版仅标记，不删除
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,strength.enabled,STRENGTH_ENABLED,true,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,strength.durationTicks,STRENGTH_DURATION_TICKS,6000,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,strength.cooldownTicks,STRENGTH_COOLDOWN_TICKS,1200,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,shield.enabled,SHIELD_ENABLED,true,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,shield.durationTicks,SHIELD_DURATION_TICKS,6000,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,shield.cooldownTicks,SHIELD_COOLDOWN_TICKS,1200,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,shield.basicTempHealth,BASIC_SHIELD_TEMP_HEALTH,30.0F,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,shield.advancedTempHealth,ADVANCED_SHIELD_TEMP_HEALTH,100.0F,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,swiftness.enabled,SWIFTNESS_ENABLED,true,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,swiftness.durationTicks,SWIFTNESS_DURATION_TICKS,6000,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,swiftness.cooldownTicks,SWIFTNESS_COOLDOWN_TICKS,1200,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,hunter.enabled,HUNTER_ENABLED,true,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,hunter.durationTicks,HUNTER_DURATION_TICKS,6000,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,hunter.cooldownTicks,HUNTER_COOLDOWN_TICKS,1200,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,fire.enabled,FIRE_ENABLED,true,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,fire.durationTicks,FIRE_DURATION_TICKS,6000,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,3,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,fire.cooldownTicks,FIRE_COOLDOWN_TICKS,1200,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,fire.advancedAddsRegeneration,ADVANCED_FIRE_ADDS_REGENERATION,true,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,insight.enabled,INSIGHT_ENABLED,true,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,insight.basicWaveCount,INSIGHT_BASIC_WAVE_COUNT,3,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,insight.glowDurationTicks,INSIGHT_GLOW_DURATION_TICKS,6000,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,insight.cooldownTicks,INSIGHT_COOLDOWN_TICKS,1200,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,rally.enabled,RALLY_ENABLED,true,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,rally.basicCount,RALLY_BASIC_COUNT,5,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,rally.advancedCount,RALLY_ADVANCED_COUNT,10,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,rally.basicCooldownTicks,RALLY_BASIC_COOLDOWN_TICKS,1800,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,rally.advancedCooldownTicks,RALLY_ADVANCED_COOLDOWN_TICKS,2400,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,rally.basicConsumesItem,RALLY_BASIC_CONSUMES_ITEM,true,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,rally.advancedConsumesItem,RALLY_ADVANCED_CONSUMES_ITEM,false,是,有效,com/noah/raidenhancement/item/BattleSupportTokenItem.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,rally.skipRaidersAlreadyWithin,RALLY_EXISTING_NEAR_PLAYER_SKIP_DISTANCE,8,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,rally.teleportMinDistance,RALLY_TELEPORT_MIN_DISTANCE,6,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,rally.teleportMaxDistance,RALLY_TELEPORT_MAX_DISTANCE,12,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,rally.blacklistEntityIdContains,RALLY_BLACKLIST_ENTITY_ID_CONTAINS,"""blimp,ender_dragon,wither,warden""",是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,internalTokenCooldowns.enabled,INTERNAL_TOKEN_COOLDOWNS_ENABLED,true,是,已读取但未发现运行时消费者,无外部读取,0,疑似旧版遗留/预留,候选废弃；本版仅标记，不删除
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.enabled,MERCENARY_ENABLED,true,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.requireActiveRaid,MERCENARY_REQUIRE_ACTIVE_RAID,false,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.durationTicks,MERCENARY_DURATION_TICKS,36000,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.cooldownTicks,MERCENARY_COOLDOWN_TICKS,1200,是,有效,com/noah/raidenhancement/item/MercenaryGolemTokenItem.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.summonCount,MERCENARY_SUMMON_COUNT,2,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.maxActivePerPlayer,MERCENARY_MAX_ACTIVE_PER_PLAYER,4,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,2,否,保留
